"broodYr","retYr","System","fwAge","oAge","ret"
1950,1953,"Kvichak",0,2,0
1951,1954,"Kvichak",0,2,0
1952,1955,"Kvichak",0,2,0
1953,1956,"Kvichak",0,2,0
1954,1957,"Kvichak",0,2,0
1955,1958,"Kvichak",0,2,0
1956,1959,"Kvichak",0,2,0
1957,1960,"Kvichak",0,2,8
1958,1961,"Kvichak",0,2,0
1959,1962,"Kvichak",0,2,0
1950,1953,"Kvichak",1,1,0
1951,1954,"Kvichak",1,1,0
1952,1955,"Kvichak",1,1,0
1953,1956,"Kvichak",1,1,0
1954,1957,"Kvichak",1,1,0
1955,1958,"Kvichak",1,1,0
1956,1959,"Kvichak",1,1,13.559
1957,1960,"Kvichak",1,1,0
1958,1961,"Kvichak",1,1,0
1959,1962,"Kvichak",1,1,0
1950,1954,"Kvichak",0,3,0
1951,1955,"Kvichak",0,3,0
1952,1956,"Kvichak",0,3,0
1953,1957,"Kvichak",0,3,0
1954,1958,"Kvichak",0,3,0
1955,1959,"Kvichak",0,3,0
1956,1960,"Kvichak",0,3,0
1957,1961,"Kvichak",0,3,0
1958,1962,"Kvichak",0,3,0
1950,1954,"Kvichak",1,2,0
1951,1955,"Kvichak",1,2,0
1952,1956,"Kvichak",1,2,9954
1953,1957,"Kvichak",1,2,91
1954,1958,"Kvichak",1,2,81
1955,1959,"Kvichak",1,2,249
1956,1960,"Kvichak",1,2,24246
1957,1961,"Kvichak",1,2,243
1958,1962,"Kvichak",1,2,76
1950,1954,"Kvichak",2,1,0
1951,1955,"Kvichak",2,1,0
1952,1956,"Kvichak",2,1,0
1953,1957,"Kvichak",2,1,0
1954,1958,"Kvichak",2,1,16.705
1955,1959,"Kvichak",2,1,13.559
1956,1960,"Kvichak",2,1,0
1957,1961,"Kvichak",2,1,0
1958,1962,"Kvichak",2,1,0.33
1950,1955,"Kvichak",0,4,0
1951,1956,"Kvichak",0,4,0
1952,1957,"Kvichak",0,4,0
1953,1958,"Kvichak",0,4,0
1954,1959,"Kvichak",0,4,0
1955,1960,"Kvichak",0,4,0
1956,1961,"Kvichak",0,4,0
1957,1962,"Kvichak",0,4,0
1950,1955,"Kvichak",1,3,0
1951,1956,"Kvichak",1,3,221
1952,1957,"Kvichak",1,3,6681
1953,1958,"Kvichak",1,3,62
1954,1959,"Kvichak",1,3,29
1955,1960,"Kvichak",1,3,100
1956,1961,"Kvichak",1,3,6968
1957,1962,"Kvichak",1,3,244
1950,1955,"Kvichak",2,2,0
1951,1956,"Kvichak",2,2,3377
1952,1957,"Kvichak",2,2,2956
1953,1958,"Kvichak",2,2,365
1954,1959,"Kvichak",2,2,638
1955,1960,"Kvichak",2,2,588
1956,1961,"Kvichak",2,2,6472
1957,1962,"Kvichak",2,2,3333
1950,1955,"Kvichak",3,1,0
1951,1956,"Kvichak",3,1,0
1952,1957,"Kvichak",3,1,0
1953,1958,"Kvichak",3,1,0
1954,1959,"Kvichak",3,1,0
1955,1960,"Kvichak",3,1,0
1956,1961,"Kvichak",3,1,0
1957,1962,"Kvichak",3,1,0
1950,1956,"Kvichak",0,5,0
1951,1957,"Kvichak",0,5,0
1952,1958,"Kvichak",0,5,0
1953,1959,"Kvichak",0,5,0
1954,1960,"Kvichak",0,5,0
1955,1961,"Kvichak",0,5,0
1956,1962,"Kvichak",0,5,0
1950,1956,"Kvichak",1,4,0
1951,1957,"Kvichak",1,4,0
1952,1958,"Kvichak",1,4,0
1953,1959,"Kvichak",1,4,0
1954,1960,"Kvichak",1,4,0
1955,1961,"Kvichak",1,4,0
1956,1962,"Kvichak",1,4,0
1950,1956,"Kvichak",2,3,248
1951,1957,"Kvichak",2,3,983
1952,1958,"Kvichak",2,3,654
1953,1959,"Kvichak",2,3,60
1954,1960,"Kvichak",2,3,0
1955,1961,"Kvichak",2,3,531
1956,1962,"Kvichak",2,3,1308
1950,1956,"Kvichak",3,2,0
1951,1957,"Kvichak",3,2,0
1952,1958,"Kvichak",3,2,1
1953,1959,"Kvichak",3,2,0
1954,1960,"Kvichak",3,2,0
1955,1961,"Kvichak",3,2,20
1956,1962,"Kvichak",3,2,0
1950,1957,"Kvichak",1,5,0
1951,1958,"Kvichak",1,5,0
1952,1959,"Kvichak",1,5,0
1953,1960,"Kvichak",1,5,0
1954,1961,"Kvichak",1,5,0
1955,1962,"Kvichak",1,5,0
1950,1957,"Kvichak",2,4,0
1951,1958,"Kvichak",2,4,1
1952,1959,"Kvichak",2,4,0
1953,1960,"Kvichak",2,4,0
1954,1961,"Kvichak",2,4,0
1955,1962,"Kvichak",2,4,0
1950,1957,"Kvichak",3,3,0
1951,1958,"Kvichak",3,3,0
1952,1959,"Kvichak",3,3,1
1953,1960,"Kvichak",3,3,0
1954,1961,"Kvichak",3,3,29
1955,1962,"Kvichak",3,3,0
1950,1953,"Alagnak",0,2,0
1951,1954,"Alagnak",0,2,0
1952,1955,"Alagnak",0,2,0
1953,1956,"Alagnak",0,2,0
1954,1957,"Alagnak",0,2,0
1955,1958,"Alagnak",0,2,0
1956,1959,"Alagnak",0,2,5
1957,1960,"Alagnak",0,2,0
1958,1961,"Alagnak",0,2,0
1959,1962,"Alagnak",0,2,0
1950,1953,"Alagnak",1,1,0
1951,1954,"Alagnak",1,1,0
1952,1955,"Alagnak",1,1,0
1953,1956,"Alagnak",1,1,0
1954,1957,"Alagnak",1,1,0
1955,1958,"Alagnak",1,1,0
1956,1959,"Alagnak",1,1,0
1957,1960,"Alagnak",1,1,0
1958,1961,"Alagnak",1,1,0
1959,1962,"Alagnak",1,1,0
1950,1954,"Alagnak",0,3,0
1951,1955,"Alagnak",0,3,0
1952,1956,"Alagnak",0,3,0
1953,1957,"Alagnak",0,3,0
1954,1958,"Alagnak",0,3,0
1955,1959,"Alagnak",0,3,0
1956,1960,"Alagnak",0,3,0
1957,1961,"Alagnak",0,3,0
1958,1962,"Alagnak",0,3,0
1950,1954,"Alagnak",1,2,0
1951,1955,"Alagnak",1,2,0
1952,1956,"Alagnak",1,2,383
1953,1957,"Alagnak",1,2,5
1954,1958,"Alagnak",1,2,14
1955,1959,"Alagnak",1,2,788
1956,1960,"Alagnak",1,2,1885
1957,1961,"Alagnak",1,2,5
1958,1962,"Alagnak",1,2,43
1950,1954,"Alagnak",2,1,0
