stock_broodyr_age,production_stock_name,production_stock_code,broodyr,returnyr,age,total_broodyr_spawners,total_broodyr_EFS,total_broodyr_age1_smolt,total_broodyr_age2_smolt,total_broodyr_fry_estimate,num_recruits,hatchery_supplementation,active_spawning_channel,major_spawn_events,run_size_type,age_comp_method,stock_ID_quality,big_bar_flag,exclude_SR_modelling_spawners,exclude_SR_modelling_recruits
Late Stuart_1948_21,Late Stuart,2,1948,1950,21,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_31,Late Stuart,2,1948,1951,31,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_32,Late Stuart,2,1948,1951,32,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_41,Late Stuart,2,1948,1952,41,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_42,Late Stuart,2,1948,1952,42,1049,NA,NA,NA,NA,327,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_43,Late Stuart,2,1948,1952,43,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_51,Late Stuart,2,1948,1953,51,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_52,Late Stuart,2,1948,1953,52,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_53,Late Stuart,2,1948,1953,53,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_62,Late Stuart,2,1948,1954,62,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_63,Late Stuart,2,1948,1954,63,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_64,Late Stuart,2,1948,1954,64,1049,NA,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1948_72,Late Stuart,2,1948,1955,72,1049,NA,NA,NA,NA,0,NA,NA,NA,post-DBE,NA,2,NA,Include,Include
Late Stuart_1949_21,Late Stuart,2,1949,1951,21,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
Late Stuart_1949_31,Late Stuart,2,1949,1952,31,107752,39085,NA,NA,NA,0,NA,NA,NA,historical,NA,2,NA,Include,Include
