year,pink
1946,0.119
1947,0.312
1948,0.222
1949,0.384
1950,0.199
1951,0.331
1952,0.283
1953,0.393
1954,0.201
1955,0.253
1956,0.131
1957,0.223
1958,0.181
1959,0.247
1960,0.156
1961,0.217
1962,0.190
1963,0.196
1964,0.180
1965,0.250
1966,0.132
1967,0.203
1968,0.126
1969,0.159
1970,0.134
1971,0.228
1972,0.199
1973,0.279
1974,0.234
1975,0.32
1976,0.244
1977,0.298
1978,0.223
1979,0.431
1980,0.309
1981,0.326
1982,0.262
1983,0.27
1984,0.212
1985,0.364
1986,0.303
1987,0.486
1988,0.277
1989,0.399
1990,0.454
1991,0.435
1992,0.424
1993,0.402
1994,0.444
1995,0.501
1996,0.382
1997,0.402
1998,0.383
1999,0.466
2000,0.361
2001,0.594
2002,0.348
2003,0.55
2004,0.332
2005,0.658
2006,0.41
2007,0.655
2008,0.438
2009,0.578
2010,0.359
2011,0.553
2012,0.432
2013,0.513
2014,0.701
2015,0.639
2016,0.313
2017,0.797
2018,0.299
