Stock,BroodYear,Escapement,lnrs,a,b,wt
Alagnak,1955,NA,NA,1.22,3.15e-7,NA
Alagnak,1956,NA,NA,1.22,3.15e-7,NA
Alagnak,1957,NA,NA,1.22,3.15e-7,NA
Alagnak,1958,NA,NA,1.22,3.15e-7,NA
Alagnak,1959,NA,NA,1.22,3.15e-7,NA
Alagnak,1960,NA,NA,1.22,3.15e-7,NA
Alagnak,1961,NA,NA,1.22,3.15e-7,NA
Alagnak,1962,NA,NA,1.22,3.15e-7,NA
Alagnak,1963,203304,0.7132708445871759,1.22,3.15e-7,-0.4426883954128241
Alagnak,1964,248700,0.4289111894288873,1.22,3.15e-7,-0.7127483105711128
Alagnak,1965,175020,0.39473817280471957,1.22,3.15e-7,-0.7701305271952804
Alagnak,1966,174336,1.1768741174224946,1.22,3.15e-7,0.011789957422494668
Alagnak,1967,202626,0.6531136019873731,1.22,3.15e-7,-0.5030592080126268
Alagnak,1968,193872,0.25102588089415245,1.22,3.15e-7,-0.9079044391058476
Alagnak,1969,182490,-0.012713361771088873,1.22,3.15e-7,-1.1752290117710888
Alagnak,1970,177060,-0.1953387874338221,1.22,3.15e-7,-1.3595648874338222
Alagnak,1971,187302,0.5503410204197633,1.22,3.15e-7,-0.6106588495802366
Alagnak,1972,151188,-0.19689217914235096,1.22,3.15e-7,-1.3692679591423509
Alagnak,1973,35280,2.6768421192157033,1.22,3.15e-7,1.4679553192157033
Alagnak,1974,214848,2.3667729924784737,1.22,3.15e-7,1.2144501124784737
Alagnak,1975,100480,2.3198261583274418,1.22,3.15e-7,1.1314773583274418
Alagnak,1976,81822,1.438153345536381,1.22,3.15e-7,0.24392727553638105
Alagnak,1977,108910.5,2.219884425753841,1.22,3.15e-7,1.034191233253841
Alagnak,1978,584970,1.3134919279626713,1.22,3.15e-7,0.27775747796267125
Alagnak,1979,750210,1.033373087003462,1.22,3.15e-7,0.04968923700346206
Alagnak,1980,759645,-0.16655876668401673,1.22,3.15e-7,-1.1472705916840167
Alagnak,1981,209635.5,1.7301901773788735,1.22,3.15e-7,0.5762253598788736
