System,River,ReturnYear,Total_Returns,AgeClass_0.1,AgeClass_0.2,AgeClass_0.3,AgeClass_0.4,AgeClass_0.5,AgeClass_1.1,AgeClass_1.2,AgeClass_1.3,AgeClass_1.4,AgeClass_1.5,AgeClass_2.1,AgeClass_2.2,AgeClass_2.3,AgeClass_2.4,AgeClass_3.1,AgeClass_3.2,AgeClass_3.3,AgeClass_3.4
Bristol Bay,Alagnak,1963,378138.281,0,0,0,0,0,0,331299.9901,13119.73011,0,0,5.95E-10,20219.16203,13499.39879,0,0,8.98E-10,8.97E-10,0
Bristol Bay,Alagnak,1964,759383.0503,0,0.000139744,0,0,0,4468.518531,121361.3428,338122.2324,0,0,8.07E-06,286853.6594,8577.297063,0,0,2.32E-07,1.56E-06,0
Bristol Bay,Alagnak,1965,397860.6082,0,0,727.0738165,0,0,11965.31397,50293.24503,116448.3441,6.47E-09,0,6.47E-09,166914.9386,50738.89377,0,0,772.7989217,6.47E-09,0
Bristol Bay,Alagnak,1966,394077.1591,0,0,1.83E-09,0,0,0,110266.2436,232930.7438,1.83E-09,0,0,6138.956317,43428.89416,1.83E-09,0,1.83E-09,1312.321188,0
Bristol Bay,Alagnak,1967,344305.5856,0,0,1.07E-09,0,0,6377.297622,231001.9094,104885.0295,1.07E-09,0,415.0233822,1626.325711,1.07E-09,0,0,1.08E-09,1.07E-09,0
Bristol Bay,Alagnak,1968,314033.5574,0,0,8.09E-10,0,0,8480.041847,97650.42155,151684.1612,8.09E-10,0,1880.281525,30953.02333,22573.01663,8.09E-10,0,812.6112988,8.09E-10,0
Bristol Bay,Alagnak,1969,324288.9552,0,2.16E-09,0,0,0,9662.46649,110322.9586,90731.09184,2.16E-09,0,509.9296836,112243.2976,819.2109868,0,0,2.16E-09,2.16E-09,0
Bristol Bay,Alagnak,1970,500779.5115,0,0,4.55E-09,0,0,5829.784087,304544.0937,88347.84888,0,0,0,29040.27188,73017.51291,0,0,4.55E-09,4.55E-09,0
Bristol Bay,Alagnak,1971,537293.5244,0,410.6394392,461.1695004,1.66E-09,0,8143.462512,260360.1267,229247.617,5497.060303,0,2325.189365,13317.46263,17530.79694,0,0,1.66E-09,1.66E-09,0
Bristol Bay,Alagnak,1972,302589.3072,0,0,6.49E-10,1.30E-09,0,7.09E-09,182414.4477,52163.06605,9.72E-10,0,0,59199.56702,8812.22642,9.72E-10,0,6.50E-10,6.49E-10,0
Bristol Bay,Alagnak,1973,63552.96937,0,0,5.58E-10,0,0,4.46E-10,1353.562585,52504.16838,3.35E-10,0,0,685.3733358,9009.86507,0,0,4.46E-10,4.46E-10,0
Bristol Bay,Alagnak,1974,247579.7304,0,0,0,0,0,1232.554603,78027.48004,54756.5338,2129.569334,0,9.26E-10,108529.1674,2904.425243,0,0,9.26E-10,0,0
Bristol Bay,Alagnak,1975,112656.7016,0,0,0,0,0,1462.131056,28837.9158,58491.20163,0,0,0,8320.092751,15545.36038,2.48E-09,0,2.48E-09,2.48E-09,0
Bristol Bay,Alagnak,1976,157449.6707,0,1.03E-09,1.03E-09,0,0,0,70319.71726,56203.80349,0,0,1.03E-09,30123.16981,802.9801249,1.03E-09,0,1.03E-09,1.03E-09,0
Bristol Bay,Alagnak,1977,234915.3342,0,6.41E-09,6.87E-09,0,0,0,2.11E-08,27572.16095,0,0,0,2.98E-08,207343.1732,0,0,6.41E-09,6.41E-09,0
Bristol Bay,Alagnak,1978,1110702.155,0,0,1910.670007,3098.548864,0,0,722581.3598,6686.64052,1.50E-08,0,6.39E-08,350599.5198,2.14E-07,1.01E-07,0,24813.54735,1011.868203,0
Bristol Bay,Alagnak,1979,1620186.939,0,2.47E-08,0,0,0,3.79E-08,8.16E-08,2.85E-08,1377.892959,0,3.23E-08,1551297.185,3.80E-08,0,0,67511.86128,7.60E-09,0
Bristol Bay,Alagnak,1980,855660.8623,0,0.010013235,77257.47128,0,0,163393.6819,0.01302035,467274.9948,1866.977846,0,1.461393776,0.024200019,0.212863894,0,62200.61048,0.139271383,83665.26528,0
Bristol Bay,Alagnak,1981,667234.6975,0,0,3286.812066,0,0,0,2.88E-07,157897.4174,0,0,0,1.89E-06,492798.3956,0,0,8.34E-09,13252.07246,0
Bristol Bay,Alagnak,1982,1345575.82,0,0,8.49E-09,0,0,0,561752.3807,689174.6394,2.21E-08,0,0,2.63E-08,94648.79976,2.29E-08,0,0,0,0
Bristol Bay,Alagnak,1983,2664575.178,0,0,1044.816871,0,0,0,947783.0621,1026219.175,3.56E-08,0,16623.33755,512955.0871,145046.2347,14903.46447,0,6.67E-09,6.67E-09,0
Bristol Bay,Alagnak,1984,1193249.444,0,0,4639.555523,6.43E-09,0,0,1.71E-08,81154.7649,15371.06085,0,5.13E-08,1047576.635,2.14E-08,0,0,42749.68539,1757.742072,0
